Date of event or date to reach out,Event,Budget Category,Account # in budget,Volunteers leading this effort,Location,Target Audience,Amount of effort,Avg. Attendance,Attendance FY21,Attendance FY20,Attendance FY19,Attendance FY18,FY21 percent raised,FY21 Income Goal,Avg. Funds Raised,Funds Raised FY21,Expenses FY21,GIK FY21,Funds Raised FY20,Expenses FY20,GIK FY20,Funds Raised FY19,Expenses FY19,GIK FY19,Funds Raised FY18,Funds Raised FY17
TBD,Events - CT/NE,US Events,40430,Jenn/Amber?,CT,CT,High,0.00,coming soon,0,0,0,0.00%,$500,"$1,853.06",,$0.00,$0.00,$309.00,$167.14,$22.00,$473.00,--,--,"$1,687.25","$4,943.00"
SUM,Events - not recurring,US Events,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,various - see individual lines,8.14%,"$3,800","$1,614.65",$309.30,$0.00,$0.00,"$2,920.00",$316.00,"$3,578.27",--,--,--,--,--
Ongoing,Matching donations (10),Other,40530,TBD (proactive) / Debra (when donation is made),Virtual,Corporate community,Low,--,--,--,--,--,96.53%,"$2,500","$2,297.30","$2,413.26",$0.00,$0.00,"$1,769.19",$0.00,$0.00,"$3,064.37",--,--,"$1,638.00","$2,601.70"
Ongoing,Grants,Grants,40500,Chris,Virtual,Grantmaking orgs,Medium,--,--,--,--,--,#DIV/0!,$0,$802.18,$750.00,$0.00,$0.00,$0.00,$0.00,$0.00,--,--,--,"$1,500.00",$958.70
Ongoing,"PuraVida bracelets, Dream books, Photo sales, Popsockets, Speaking Events (Other US events)",US Events,40450,"Debra (sending), Amanda (publicizing)",Virtual,High school / college students,Low,--,--,--,--,--,--,see Other US Events line 7,$905.38,$5.00,$0.00,$0.00,"$1,021.28",$0.00,$0.00,$788.00,$623.63,--,"$1,118.07","$1,594.56"
Ongoing,University Efforts,US Events,40460,TBD,Virtual,Colleges,Medium,--,--,--,--,--,0.00%,$600,$989.63,,$0.00,$0.00,"$1,016.00",$0.00,$0.00,$800.00,--,--,"$1,632.53",$510.00
Ongoing,"Amazon Smile, Cafepress, Goodshop",social media,40300,Amanda,Virtual,Everyone!,Low,--,--,--,--,--,16.18%,$200,$164.70,$32.35,$0.00,$0.00,$192.33,$0.00,$0.00,$240.00,--,--,$210.25,$148.59
Ongoing,Birthdays and weddings,DM,40120,Jenn/Adrianne/Tess,Virtual,Former Ecuador visitors/volunteers,Low,5.50,5,6,8,3,30.32%,"$5,500","$3,830.40","$1,667.52",$0.00,$0.00,"$6,049.31",$0.00,$0.00,"$4,734.08",--,--,"$3,283.83","$3,417.26"
Ongoing,Events - Ecuador,Ecuador Events,"40140
40200",Stephanie,Ecuador,Ecuador community,Medium,5.67,coming soon,4,6,7,0.00%,"$1,650","$2,004.31",,$0.00,$0.00,"$1,213.60",$24.14,$0.00,"$1,434.59",$38.00,$798.40,"$2,276.44","$3,092.60"
Ongoing,Unsolicited Gifts,Other,40560,No one,Virtual,None,Low,--,--,--,--,--,16.70%,"$31,000","$24,489.04","$5,178.48",$0.00,$0.00,"$30,005.66",$0.00,$0.00,"$32,673.00",--,--,"$24,593.38","$29,994.67"
,,,,,,,,,,,,,27.35%,"$203,900",,"$55,776.06",$635.06,"$2,223.00","$191,055.40","$4,691.33","$29,999.89",,,,, 
N/A,Additional Expenses (not related to an advancement effort specifically),N/A,--,Jenn,--,--,--,--,--,--,--,--,--,--,--,marketing,,,marketing,$48.54,"$2,033.00",--,--,--,--,--
,,,,,,,,,,,,,,,,CT State Reg,,,CT State Reg,$50.00,,,,,,
,,,,,,,,,,,,,,,,fundraising expense total,,,total other fundraising expenses,$98.54,,,,,,
,,,,,,,,,,,,,,,,volunteer expenses,,,volunteer expenses,4038.95,,,,,,
